cladeName	cladeTax	sampleNum	ASVsNum	HR_sampleTypes	HR_sampleNum	HR_cat	HR_type	CP_pres	CP_prominent	CP_sampleTypes	CP_sampleNum	captiveNames	captive_bonobo	captive_chimp	captive_gorilla	captive_orangutan	non_industrialized_human	industrialized_human	wild_bonobo	wild_chimp	wild_gorilla	heatmap_col1	heatmap_col2	heatmap_col3	codiv_clade	lineage
clade_86	unclassified_unclassified	1256	362	['human']	1256	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.4383561643835616	0.1524822695035461	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_2107	Bacteroidaceae_Prevotella	733	339	['human']	733	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.3639921722113503	0.08082151300236406	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_349	Bacteroidaceae_Bacteroides_A	1629	304	['human']	1629	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.09784735812133072	0.23330378250591016	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_376	UBA932_RC9	389	239	['human']	389	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.24070450097847357	0.03930260047281324	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_4186	Bacteroidaceae_Prevotellamassilia	487	190	['human']	485	HR	HR_human	True	False	['captive_bonobo']	2	['cp.bon.COLZ.03.Bt', 'cp.bon.COLZ.12.Bt']	0.16666666666666666	0.0	0.0	0.0	0.4657534246575342	0.03649527186761229	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_57	unclassified_unclassified	1542	190	['human']	1542	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.05283757338551859	0.22384751773049646	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_10113	Bacteroidaceae_Prevotella	1731	170	['human']	1712	HR	HR_human	True	True	['captive_chimp', 'captive_bonobo', 'captive_gorilla']	19	['cp.gor.HOUZ.04.Bt', 'cp.chi.HOUZ.02.Bt', 'cp.chi.HOUZ.08.Bt', 'cp.chi.HOUZ.01.Bt', 'cp.chi.HOUZ.06.Bt', 'cp.gor.HOUZ.02.Bt', 'cp.chi.PC.A7.Bt', 'cp.chi.HOUZ.07.Bt', 'cp.bon.COLZ.10.Bt', 'cp.chi.HOUZ.05.Bt', 'cp.chi.PC.A5.Bt', 'cp.chi.PC.A8.Bt', 'cp.chi.HOUZ.04.Bt', 'cp.bon.COLZ.03.Bt', 'cp.chi.PC.A3.Bt', 'cp.chi.PC.B4.Bt', 'cp.chi.HOUZ.03.Bt', 'cp.gor.HOUZ.06.Bt', 'cp.gor.HOUZ.03.Bt']	0.16666666666666666	0.5	0.2	0.0	0.6027397260273972	0.2074468085106383	0.0	0.0	0.0	HR_human	HR_human	HR_human		
clade_357	Rikenellaceae_Alistipes	1025	118	['human']	1025	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.03913894324853229	0.14849290780141844	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_9218	Bacteroidaceae_Prevotella	271	113	['human']	271	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.15655577299412915	0.028221040189125295	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_9181	Bacteroidaceae_Prevotella	232	112	['human']	232	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.0273972602739726	0.03221040189125295	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_41	unclassified_unclassified	1890	112	['human']	1889	HR	HR_human	True	False	['captive_chimp']	1	['cp.chi.PC.A2.Bt']	0.0	0.038461538461538464	0.0	0.0	0.03718199608610567	0.2763002364066194	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_3550	Bacteroidaceae_Prevotella	172	111	['human']	172	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.007827788649706457	0.024822695035460994	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_1380	Bacteroidaceae_Prevotella	630	110	['human']	630	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.2583170254403131	0.07358156028368794	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_557	Tannerellaceae_Parabacteroides	2110	94	['human']	2110	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.04892367906066536	0.30806737588652483	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_4669	Bacteroidaceae_Prevotella	21	93	['wild_bonobo']	21	HR	HR_wild_bonobo	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	HR_wild_bonobo	HR_wild_bonobo	Blank	Bt2_clade1_bonobo	Bt2
clade_633	Bacteroidaceae_Prevotella	304	91	['human']	304	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.0019569471624266144	0.04476950354609929	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_3519	Bacteroidaceae_Prevotella	603	91	['human']	591	HR	HR_human	True	True	['captive_chimp', 'captive_bonobo', 'captive_gorilla']	12	['cp.gor.COLZ.04.Bt', 'cp.chi.PC.A8.Bt', 'cp.chi.PC.A1.Bt', 'cp.bon.COLZ.03.Bt', 'cp.chi.PC.A7.Bt', 'cp.chi.PC.A3.Bt', 'cp.chi.PC.B4.Bt', 'cp.bon.COLZ.12.Bt', 'cp.gor.COLZ.07.Bt', 'cp.bon.COLZ.01.Bt', 'cp.chi.PC.A5.Bt', 'cp.chi.PC.B2.Bt']	0.25	0.2692307692307692	0.1	0.0	0.4598825831702544	0.05260047281323877	0.0	0.0	0.0	HR_human	HR_human	HR_human		
clade_1206	Rikenellaceae_Alistipes	1400	84	['human']	1400	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.029354207436399216	0.20463947990543735	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_5124	Bacteroidaceae_Prevotella	288	82	['human']	288	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.3287671232876712	0.01773049645390071	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_2366	UBA932_RC9	478	80	['human']	478	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.41682974559686886	0.0391548463356974	0.0	0.0	0.0	HR_human	HR_human	Blank		
clade_1115	Bacteroidaceae_Prevotella	178	77	['human']	178	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.023483365949119372	0.024527186761229315	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_55	Porphyromonadaceae_Porphyromonas	110	76	['human']	110	HR	HR_human	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.0	0.016252955082742316	0.0	0.0	0.0	HR_human	Blank	Blank		
clade_749	Tannerellaceae_Parabacteroides	22	73	['wild_bonobo']	22	HR	HR_wild_bonobo	False	False	[]	0	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.9166666666666666	0.0	0.0	HR_wild_bonobo	HR_wild_bonobo	Blank		
